epoch,loss,grad_norm,lr
1.0,1.9388,3.032,0.0001995496763
2.0,0.6767,3.4415,0.0001882915846
3.0,0.5363,1.8392,0.0001770897832
4.0,0.4362,1.0799,0.0001658316915
5.0,0.4194,11.6715,0.0001573881227
6.0,0.3641,3.65,0.0001461863214
7.0,0.3188,0.8726,0.0001349282296
8.0,0.2741,1.1278,0.0001236701379
9.0,0.2675,2.7511,0.000115226569
10.0,0.2498,1.3101,0.0001039684773
11.0,0.2138,1.3684,9.27103855e-05
12.0,0.2001,3.4053,8.14522938e-05
13.0,0.2012,0.8201,7.3008725e-05
14.0,0.1803,2.095,6.17506332e-05
15.0,0.1712,1.3583,5.04925415e-05
16.0,0.1613,3.9893,3.92344497e-05
17.0,0.1598,1.3693,3.08471714e-05
18.0,0.1497,1.664,1.95890796e-05
19.0,0.1529,0.8581,8.3309878e-06
20.0,0.147,1.1759,2.701942e-06
